departure_time,arrival_time,driver_code,dtg_status,driving_time,driving_distance,speed_max,speed_avg,rpm_max,rpm_avg,volt_min,volt_max,overspeed_time,accumulated_distance
2022-11-11 14:54:48,2022-11-11 15:00:23,6987201,0,335,0,8,0.7,817,226.4,235,280,0,1050610
2022-11-11 15:36:13,2022-11-11 15:37:09,6987201,0,56,0,8,3.2,824,563.6,275,280,0,1050610
2022-11-11 15:42:40,2022-11-11 16:10:35,6987201,0,1675,18,102,37.8,1527,837.8,270,285,0,1050628
2022-11-11 16:18:31,2022-11-11 19:18:05,6987201,0,10774,122,109,40.2,1567,866.9,270,285,0,1050750
2022-11-11 19:24:42,2022-11-11 21:16:09,6987201,11,6687,113,108,60.6,1623,999.7,275,285,0,1050863
2022-11-11 21:29:19,2022-11-11 21:31:23,6987201,0,124,0,0,0.0,657,122.8,220,280,0,1050863
2022-11-12 7:27:12,2022-11-12 8:12:49,8730587,11,2737,18,92,23.4,1803,600.4,205,285,0,1050881
2022-11-12 8:17:22,2022-11-12 9:56:39,8730587,11,5957,110,111,66.3,1870,1096.0,195,285,8,1050991
2022-11-12 10:39:34,2022-11-12 13:11:33,8730587,11,9119,115,110,44.8,1981,952.3,185,285,0,1051106
2022-11-12 13:36:48,2022-11-12 13:38:31,8730587,0,103,0,9,2.1,960,479.0,235,285,0,1051106
2022-11-12 13:43:34,2022-11-12 16:22:07,8730587,11,9513,110,111,41.7,1844,964.0,220,285,6,1051216
2022-11-12 17:21:37,2022-11-12 19:06:19,8730587,11,6282,82,108,46.3,1884,916.8,270,285,0,1051298
2022-11-12 20:29:09,2022-11-12 20:43:15,8730587,13,846,0,5,0.3,826,107.8,185,280,0,1051298
2022-11-12 20:47:35,2022-11-12 22:31:59,8730587,11,6264,81,108,46.6,1802,956.8,210,280,0,1051379
2022-11-13 7:56:50,2022-11-13 10:03:55,8730587,11,7625,114,109,53.6,1907,955.7,200,285,0,1051493
2022-11-13 10:04:05,2022-11-13 10:14:17,8730587,13,612,0,9,0.4,961,342.2,215,285,0,1051493
2022-11-13 11:36:50,2022-11-13 11:38:39,8730587,0,109,0,6,1.7,777,469.5,200,285,0,1051493
2022-11-13 11:41:49,2022-11-13 14:11:13,8730587,11,8964,123,119,49.0,1885,1007.6,210,285,40,1051616
2022-11-13 14:11:16,2022-11-13 14:33:13,8730587,11,1317,0,0,0.0,1062,1028.1,195,280,0,1051616
2022-11-13 14:41:33,2022-11-13 16:13:49,8730587,11,5536,81,109,52.4,1809,988.1,215,285,0,1051697
2022-11-13 17:08:35,2022-11-13 19:26:11,8730587,11,8256,81,108,35.2,1913,828.4,205,285,0,1051778
2022-11-13 20:06:31,2022-11-13 21:44:15,8730587,11,5864,81,110,49.4,1898,931.4,245,285,0,1051859
2022-11-13 21:45:45,2022-11-13 21:49:29,8730587,0,224,0,0,0.0,0,0.0,245,255,0,1051859
2022-11-14 7:38:14,2022-11-14 7:41:27,6987201,0,193,0,0,0.0,669,499.3,280,285,0,1051859
2022-11-14 7:55:58,2022-11-14 8:21:05,6987201,13,1507,0,10,0.1,606,23.4,155,285,0,1051859
2022-11-14 8:27:27,2022-11-14 9:50:21,6987201,11,4974,81,108,58.1,1554,968.0,220,285,0,1051940
